I_D	FLAG_TSUNAMI	YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	FOCAL_DEPTH	EQ_PRIMARY	EQ_MAG_MW	EQ_MAG_MS	EQ_MAG_MB	EQ_MAG_ML	EQ_MAG_MFA	EQ_MAG_UNK	INTENSITY	COUNTRY	STATE	LOCATION_NAME	LATITUDE	LONGITUDE	REGION_CODE	DEATHS	DEATHS_DESCRIPTION	MISSING	MISSING_DESCRIPTION	INJURIES	INJURIES_DESCRIPTION	DAMAGE_MILLIONS_DOLLARS	DAMAGE_DESCRIPTION	HOUSES_DESTROYED	HOUSES_DESTROYED_DESCRIPTION	HOUSES_DAMAGED	HOUSES_DAMAGED_DESCRIPTION	TOTAL_DEATHS	TOTAL_DEATHS_DESCRIPTION	TOTAL_MISSING	TOTAL_MISSING_DESCRIPTION	TOTAL_INJURIES	TOTAL_INJURIES_DESCRIPTION	TOTAL_DAMAGE_MILLIONS_DOLLARS	TOTAL_DAMAGE_DESCRIPTION	TOTAL_HOUSES_DESTROYED	TOTAL_HOUSES_DESTROYED_DESCRIPTION	TOTAL_HOUSES_DAMAGED	TOTAL_HOUSES_DAMAGED_DESCRIPTION
1541		1797	12	4												9	VENEZUELA		VENEZUELA:  CUMANA, CARIACO	  10.600	  -64.100	160	   16000	4						3		3			   16000	4						3		3		
6882		1798	2	2													EL SALVADOR		EL SALVADOR:  SAN SALVADOR			100		3						4						3						4				
5934	Tsu	1798	2	22			    										COSTA RICA		COSTA RICA: MATINA	  10.200	  -82.900	90																								
1543		1798	5	26			    									10	ITALY		ITALY:  FIRENZE (FLORENCE)	  43.500	   11.200	130								3																
1544		1798	6				    									10	GREECE		GREECE:  S	  36.200	   23.000	130																								
7536		1798	8	24													CHILE		CHILE:  COPIAPO	 -27.350	  -70.350	160								2		2										2		2		
1547		1799	1	25			    									8	FRANCE		FRANCE:  MACHECOUL,BOUIN,ST GILLES,NANTES	  46.900	   -2.000	120								2																
5935	Tsu	1799	6	29					 6.4		 6.4						JAPAN		JAPAN:  SW. HONSHU ISLAND	  36.600	  136.600	30														3						2				2
1548		1799	7	28			    									10	ITALY		ITALY:  CAMERINO	  43.100	   13.000	130	      60	2						3																
1549		1799	7	29	20		    									10	ITALY		ITALY:  CAMERINO	  43.100	   13.100	130																								
1550		1799	8	27					 6.5		 6.5					9	CHINA		CHINA:  YUNNAN PROVINCE	  23.800	  102.400	30	    2000	4						4	15236	4			    2000	4						4	15236	4		
1545		1799	9						 5.0		 5.0					7	COLOMBIA		COLOMBIA:  CARTAGO	   7.500	  -73.500	100								3												3				
1546		1799					    	10	 6.0						 6.0	9	UZBEKISTAN		UZBEKISTAN:  UZGUT	  39.400	   67.200	40								3																
9796	Tsu	1799															PERU		PERU:  LIMA, CALLAO	 -12.000	  -77.000	160																								
1553		1800	3	8			    										MEXICO		MEXICO:  MEXICO CITY,OAXACA	  19.200	  -99.100	150								3																
1552		1800					    		 6.5						 6.5		IRAN		IRAN:  DAMAVAND	  36.200	   53.300	140								3																
1551		1800															CANARY ISLANDS		CANARY ISLANDS:  PENON DE LA GOMERA	  28.100	  -17.100	10																								
1554		1801	5	5			    										MEXICO		MEXICO:  OAXACA	  17.000	  -96.300	150	       7	1						3																
1555		1801	5	14	21	30	    									4	SWITZERLAND		SWITZERLAND	  46.900	    8.600	120		2																						
6039	Tsu	1802	3	19			    										ANTIGUA AND BARBUDA		ANTIGUA ISLAND &  ST. CHRISTOPHER	  17.200	  -62.400	90																								
1556		1802	5	12	9	30	    									9	ITALY		ITALY:  SONCINO	  45.500	   10.000	130								2																
6519	Tsu	1802	8	15													VENEZUELA		VENEZUELA: CUMANA	  10.300	  -64.500	160																								
6040	Tsu	1802	8														INDONESIA		INDONESIA:  BANDA SEA	  -3.700	  128.200	170																				2				
1558		1802	10	26	10	55	    	150	 7.4						 7.4	10	ROMANIA		ROMANIA:  CARPATHIAN FOLD,VRANCEA	  45.700	   26.600	110								2																
8151	Tsu	1802	11	7													ALGERIA		ALGERIA:  KOLEA, BLIDA, ALGIERS	  36.500	    2.900	15		3						3	1100	4	1100	4		3						3	1100	4		
1560	Tsu	1802	12	9	5				 6.6		 6.6						JAPAN		JAPAN:  NW HONSHU:  SADO ISLAND, OGI	  37.700	  138.300	30	      19	1						3	1060	4			      19	1						3	1060	4		
1562		1803	2	1					 6.0		 6.0					8	CHINA		CHINA:  YUNNAN PROVINCE	  25.600	  100.600	30	     200	3						2		2										2		2		
1563		1803	9	1			    										INDIA		INDIA:  MATHURA (MUTTRA)	  27.500	   77.500	60								3																
1564	Tsu	1804	1	8			    									9	GREECE		GREECE:  ACHAIA:  PATRAI (PATRAS)	  38.300	   21.800	130		2																						
10120	Tsu	1804	1	13	17	45										8	AFGHANISTAN		SPAIN:  ALMERIA:  DALIAS	  36.833	   -2.833	130																								
1565	Tsu	1804	6	8	1		    									10	GREECE		GREECE:  PATRAI	  38.200	   21.800	130		2						3																
1566	Tsu	1804	7	10	13				 7.3		 7.3						JAPAN		JAPAN:  KISAKATA	  39.050	  139.950	30	     450	3						4	10810	4			     450	3						4	10810	4	300	3
1569		1804	8	25	8	30										10	SPAIN		SPAIN: ALMERIA, DALIAS, ROQUETAS	  36.900	   -2.400	130	     162	3						2		3			     162	3						2		3		
1571		1805	1	27	13		    									8	VENEZUELA		VENEZUELA:  CUMANA	  10.500	  -64.200	160								2																
1572		1805	6	16	8	15	    									8	COLOMBIA		COLOMBIA:  HONDA,MARIQUITA	   5.300	  -74.600	160	     200	3						3																
1575		1805	7	26	20	57										11	ITALY		ITALY:  MOLISE, ROSOLONE, NAPOLI (NAPLES), ISERNIA	  41.200	   14.700	130	    5600	4						4																
1570		1805					    										IRAN		IRAN:  BABOL	  36.300	   52.400	140								2																
5857	Tsu	1806	3	25	8											6	USA	CA	CALIFORNIA:  SANTA BARBARA	  34.400	 -119.700	150								1												1				
1577		1806	3	25					 7.5		 7.5						MEXICO		MEXICO:  JALISCO,OAXACA,MICHOACAN	  18.900	 -103.800	150		3												3										
7799	Tsu	1806	8	26	13	20										8	ITALY		ITALY:  TYRRHENIAN SEA	  41.700	   12.700	130																								
1579	Tsu	1806	12	1	23			30	 7.5		 7.5					8	PERU		PERU:  LIMA	 -12.100	  -77.100	160								1												1				
10057	Tsu	1808	4	2	16	43			 5.7		 5.7					9	ITALY		ITALY:  VALLEY OF PELLICE, CHISONE	  44.833	    7.250	130	       2	1						1					       2	1						1				
1581		1808	4														MOROCCO		MOROCCO:  MELILLA	  35.300	   -2.970	15								2																
6042	Tsu	1808	8	8					 6.5		 6.5						JAPAN		E. AWA, TOKUSHIMA PREFECTURE	  33.900	  134.800	30																								
1582		1808	10	9			    										IRAN		IRAN:  DODANGEH, E MAZANDARAN	  36.300	   53.300	140								3																
1583		1808	12	16			    										IRAN		IRAN:  QAZVIN-TALEQAN	  36.200	   50.000	140								3																
1580		1808															ECUADOR		ECUADOR:  QUITO	   -.217	  -78.500	160								1												1				
8203		1809	12	4													SOUTH AFRICA		SOUTH AFRICA:  CAPE OF GOOD HOPE	 -33.880	   18.450	10																								
1584		1809	12	7			    										IRAN		IRAN:  SARI,AMOL,MAZANDARAN	  36.300	   53.000	140								3																
9927	Tsu	1809															USA TERRITORY	GU	GUAM	  14.000	  143.300	170																								
1585		1810	2	16				100								10	GREECE		GREECE:  CRETE:  IRAKLION (CANDIA)	  35.500	   25.000	130	    2000	4						3		3		3	    2000	4						3		3		
1586		1810	3	20												9	CANARY ISLANDS		CANARY ISLANDS:  TENERIFE	  28.200	  -16.600	10		3																						
1587	Tsu	1810	9	25					 6.6		 6.6						JAPAN		JAPAN:  OGA	  39.900	  139.900	30	      59	2						3	1804	4			      59	2						3	1804	4		
1588		1810	10				    										CUBA		CUBA:  HAVANA,SANTIAGO DE CUBA	  23.800	  -82.200	90								2																
1589		1811	1	1	5		    	7	 4.2						 4.2	7	GEORGIA		GEORGIA:  KAKHETIYA	  41.800	   45.200	40								2																
1590		1811	3	18					 7.0		 7.0						TAIWAN		TAIWAN:  DANSHUI:  OFF WEST COAST	  25.200	  121.300	30	      21	1			        21	1		2					      21	1			21	1		2				
1591		1811	9	27					 6.5		 6.5					8	CHINA		CHINA:  SICHUAN PROVINCE:  E. OF GANZE	  31.700	  100.300	30	     480	3						2	598	3			     480	3						2	598	3		
1592		1811	10	5			    									9	PHILIPPINES		PHILIPPINES:  CAMARINES	  13.100	  123.900	170								2																
6527	Tsu	1811	11	19	14	15											CHILE		CHILE:  VALPARAISO	 -33.080	  -71.670	160																								
1594	Tsu	1811	12	16	8	15			 8.5		 8.5			7.2		11	USA	AR	ARKANSAS: NORTHEAST (NEW MADRID EARTHQUAKES)	  35.600	  -90.400	150		1						3						1						3				
7058	Tsu	1811	12	16	14	15			 8.0		 8.0			7		10	USA	AR	ARKANSAS: NORTHEAST (NEW MADRID EARTHQUAKES)	  35.600	  -90.400	150																								
1597	Tsu	1812	1	23	15		    		 8.4		 8.4			7.1		10	USA	MO	MISSOURI:  NEW MADRID	  36.300	  -89.600	150								3																
1598	Tsu	1812	2	7	9	45	    		 8.8		 8.8			7.4			USA	MO	MISSOURI:  NEW MADRID	  36.500	  -89.600	150								3																
1599		1812	3	8					 8.0		 8.0						CHINA		CHINA:  XINJIANG PROVINCE	  43.700	   83.000	40		4												4										
1601		1812	3	22												7	ITALY		ITALY:  ROMA (ROME)	  41.900	   12.450	130								2												2				
1602		1812	3	23			    									9	FRANCE		FRANCE:  BEAUMONT,PIERREVERT,SAINTE TULLE,MANOSQUE	  43.700	    5.700	120								2																
1605	Tsu	1812	3	26	20	7		33	 7.7						 7.7	10	VENEZUELA		VENEZUELA:  LA GUAIRA	  10.600	  -66.900	160	   26000	4						3					   26000	4						3				
7893	Tsu	1812	6	23													FRANCE		FRANCE:	  43.300	    5.366	120																								
1607	Tsu	1812	11	11	10	50	    										JAMAICA		JAMAICA:  KINGSTON	  18.000	  -76.800	90		2						2				3		2						2				3
1608		1812	12	7			    		 6.6						 6.6		JAPAN		JAPAN	  35.400	  139.600	30		3																						
1609		1812	12	8	15				 6.9				6.9			8	USA	CA	CALIFORNIA:   SAN JUAN CAPISTRANO	  34.370	 -117.650	150	      40	1						2				1	      40	1						2				1
1610	Tsu	1812	12	21	19				 7.5		 7.5		7.1		 7.7	8	USA	CA	CALIFORNIA:   PURISIMA	  34.200	 -119.900	150	       1	1				1		2			100	1	       1	1				1		2		1	100	1
1612		1813	3	30	9	30	    										PERU		PERU:  ICA	 -14.100	  -75.400	160	      32	1						2																
1611		1813															IRAN		IRAN:  SHIRAZ	  29.600	   52.600	140								2												2				
1613		1814	2	2												7	PHILIPPINES		PHILIPPINES:  SE LUZON:  ALBAY	  13.100	  123.900	170								3																
7970		1814	2	4					 5.3		 5.3					7	CHINA		CHINA:  HENAN PROVINCE	  35.800	  114.400	30	       4	1				3		1		2			       4	1				3		1		2		
1614		1814	5	22												7	FRANCE		FRANCE:  GAN,OLORON,LOUVIE-JUZON,BENEJACQ,TARBES	  43.200	     .400	120								2																
1615		1814	11	24					 6.0		 6.0					8	CHINA		CHINA:  YUNNAN PROVINCE:  SIPING	  23.700	  102.500	30	     900	3						3	900	3			     900	3						3	900	3		
6068	Tsu	1814															INDONESIA		INDONESIA:  TIMOR ISLAND, KUPANG, KISSAR ISLAND	 -10.217	  123.633	170								3												3				
7528	Tsu	1815	4	11													INDONESIA		INDONESIA:  AMBON ISLAND	  -3.700	  128.400	170								2		2										2		2		
1617		1815	5	3			    										MEXICO		MEXICO:  OAXACA,TAMAZULAPAN	  17.000	  -96.300	150								3																
1618		1815	10	13					 6.5		 6.5					8	TAIWAN		TAIWAN:	  25.200	  121.200	30	     111	3						3		3			     111	3						3		3		
1619		1815	10	23					 6.8		 6.8					9	CHINA		CHINA:  SHANXI PROVINCE	  34.800	  111.200	30	   13000	4						4	20000	4			   13000	4						4	20000	4		
1620	Tsu	1815	11	22				150	 7.0		 7.0						INDONESIA		INDONESIA:  BALI	  -8.000	  115.000	60	   10253	4											   11453	4										
1621		1815	12													9	GREECE		GREECE:  CRETE	  35.000	   25.750	130								3		3		3								3		3		
1616		1815														8	GREECE		GREECE:  IONIAN ISLANDS:  LEUKAS	  38.800	   20.500	130		1												1										
6069	Tsu	1816	5	1													INDONESIA		INDONESIA; MALAYSIA:  PENANG ISLAND	   5.000	   96.500	170																								
1622		1816	7	22	15	30		33	 7.5		 7.5					9	GUATEMALA		GUATEMALA:  SOLOMA	  15.500	  -91.500	100	      23	1						3		3		3	      23	1						3		3		
8098		1816	12	8					 6.5		 6.5					8	CHINA		CHINA:  SICHUAN PROVINCE	  31.400	  100.700	30	    2854	4						3	1104	4			    2854	4						3	1104	4		
6635	Tsu	1817	1	8													USA	PA	PENNSYLVANIA:  PHILADELPHIA	  39.950	  -75.100	150																								
1623		1817	3	11	20	10	    		 8.0						 8.0		FRANCE		FRANCE:  CHAMONIX VALLEY	  45.900	    6.800	120	       4	1						3																
1624		1817	4														CHINA		CHINA:  SICHUAN PROVINCE:  CHANGLI			30								3	11000	4										3	11000	4		
1625	Tsu	1817	8	23					 6.8		 6.8					10	GREECE		GREECE:  ACHAIA:  AEGHION	  38.250	   22.250	130																								
1626		1818	2	20	18	10										10	ITALY		ITALY:  ACIREALE, CATANIA, CALABRIA	  37.600	   15.000	130	      72	2						3		3			      72	2						3		3		
1627	Tsu	1818	2	23	18	10										10	ITALY		ITALY:  LIGURIA; FRANCE:  VENCE, GRASSE, NICE	  43.917	    8.033	130								3		3										3		3		
6556	Tsu	1818	3	18					 7.0		 7.0						INDONESIA		INDOENSIA:  SUMATRA:  BENGKULU	  -4.000	  101.500	170								1												1				
1629		1818	3	31					 7.5						 7.5		MEXICO		MEXICO	  19.100	 -103.600	150																								
1630		1818	4	23			    									10	BULGARIA		BULGARIA	  42.800	   23.300	110																								
1631		1818	5	31			    										MEXICO		MEXICO:  MORELOS-GUERRERO,MEXICO CITY,GUADALAJARA	  19.200	  -99.100	150								3																
1632		1818	9	8	9	37										10	ITALY		ITALY:  MADONIE	  37.800	   14.000	130	     100	2						3		3			     100	2						3		3		
6642	Tsu	1818	11	8				600	 8.5		 8.5						INDONESIA		INDONESIA:  SUMBAWA ISLAND:  BIMA	  -7.000	  117.000	170								2		3										2		3		
1633		1819	2	24					 5.8		 5.8					7	CHINA		CHINA: QINGHAI PROVINCE	  36.100	  102.300	30	     126	3			        58	2		2	108	3	108	3	     126	3			58	2		2	108	3		
1634		1819	3													10	ALGERIA		ALGERIA:  MASCARA	  35.070	     .020	15		3						3		3				3						3		3		
1635		1819	4	3	14	0			 8.0						 8.0		CHILE		CHILE:  COPIAPO	 -27.400	  -70.300	160								2		2										2		2		
1636		1819	4	4	20	0			 8.0						 8.0		CHILE		CHILE:  COPIAPO	 -27.400	  -70.300	160		3						3		3				3						3		3		
1638	Tsu	1819	4	12	3	0			 8.5					8.5		10	CHILE		CHILE:  COPIAPO	 -27.000	  -71.500	160		1						3		3				1						3		3		
1640		1819	5	26	17		    									9	ITALY		ITALY	  42.500	   11.800	130		3						3																
1642	Tsu	1819	6	16	23	30			 7.7	 7.7	 8.3					11	INDIA		INDIA:  RANN OF KUTCH,AHMADABAD,POONAH,BHOOJ	  23.000	   71.000	60	    1543	4						4	1547	4			    1543	4						4	1547	4		
7894	Tsu	1819	8	31					 5.8		 5.8					7	NORWAY		NORWAY: RANA REGION: LUROY	  66.416	   12.850	120																								
6650	Tsu	1820	3	1													USA	AK	ALASKA:  EAST ALEUTIAN ISLANDS	  54.520	 -164.650	150																								
1649		1820	3	17			    									9	GREECE		GREECE:  LEVKAS	  38.800	   20.500	130								2																
1650	Tsu	1820	5	4					 7.6		 7.6						MEXICO		MEXICO:  GUERRERO, OAXACA, PUEBLA, VERACRUZ	  17.200	  -99.600	150								3												3				
1651		1820	8	3					 6.0		 6.0					8	CHINA		CHINA:  HENAN PROVINCE	  34.100	  113.800	30	     430	3			       590	3		4	26040	4							590	3		4	26040	4		
1652		1820	10	9													IRAN		IRAN:  SHIRAZ	  29.600	   52.500	140		3						3						3						3				
1654	Tsu	1820	12	29	3	30	    		 6.9		 6.9					10	GREECE		GREECE:  ZAKINTHOS (ZANTE)	  37.750	   21.250	130	       8	1						1	79	2			       8	1						1	79	2		
1653	Tsu	1820	12	29				80	 7.5		 7.5						INDONESIA		INDONESIA:  SULAWESI:  MAKASAR	  -7.000	  119.000	170													     500	3						2		3		
1646		1820					    										VENEZUELA		VENEZUELA:  CUMANA	  10.500	  -64.200	160								2																
1648		1820															IRAN		IRAN:  MAZANDARAN	  36.500	   53.500	140								2												2				
7978	Tsu	1820							 6.2					6.2		5	CONGO		CONGO:  LOANGO	  -4.500	   11.600	10														3						1				
1655	Tsu	1821	1	6	17	15	    									10	GREECE		GREECE:  ZAKINTHOS (ZANTE)	  37.800	   21.200	130		3						2																
1656		1821	4	8													MOROCCO		MOROCCO:  MELILLA	  35.300	   -2.970	15								3																
10078	Tsu	1821	5														UK TERRITORY		UNITED KINGDOM:  BRITIAN	 -15.950	   -5.700	70													       3	1						1				
1657		1821	7	10	13											8	PERU		PERU:  CAMANA, OCONA, CARAVELI	 -16.107	  -72.967	160	     162	3						3					     162	3						3				
6504		1821	11	17	13	30			 6.7		 6.7					8	ROMANIA		ROMANIA	  45.700	   26.600	110																								
1661	Tsu	1822	5	7					 7.6		 7.6						COSTA RICA		COSTA RICA:  MATINA	  10.100	  -83.300	90								2		2										2		2		
1662		1822	6	18					 5.5		 5.5					7	CHINA		CHINA:  GANSU PROVINCE	  33.000	  104.600	30	      23	1			        20	1		1	70	2			      12	1			20	1		1	70	2		
1660	Tsu	1822	8	13												11	TURKEY		TURKEY:  ANTAKYA; SYRIA:  HALAB,DIMASHQ (DAMASCUS);	  36.000	   36.000	140	    8000	4						4					    8000	4						4				
1665		1822	9	5												11	TURKEY		TURKEY; SYRIA:  DIMASHQ (DAMASCUS), HALAB; CYPRUS	  36.000	   36.000	140	   20000	4						4					   20000	4						4				
1669	Tsu	1822	11	20	2	30			 8.5		 8.5					11	CHILE		CHILE:  VALPARAISO, QUILLOTA, CONCON,  ACONCAGUA	 -33.000	  -72.000	160	      72	3			       200	3		4		3		3	      72	3			200	3		4		3		3
1672		1822	11	25	12	15										10	CHILE		CHILE	 -33.050	  -71.630	160								1												1				
1673		1822	12	1			    										GRENADA		GRENADA	  12.100	  -64.100	90								2																
1675		1823	3	5	16	37										10	ITALY		ITALY:  NASO, SICILY	  38.100	   14.700	130	      22	1						3												3				
6636	Tsu	1823	5	30													USA	NY	LAKE ERIE (GREAT LAKES)	  42.700	  -79.000	150																								
1677		1823	6	19												9	GREECE		GREECE:  THESPROTIKON	  39.750	   20.750	130								3		3										3		3		
1678		1823	8				    									8	VENEZUELA		VENEZUELA:  CARIACO,ISLAND OF MARGARITA	  10.500	  -63.800	160								2																
1679		1823	9	7			    										IRAN		IRAN:  MAZANDARAN	  36.300	   53.300	140		3						3																
6071	Tsu	1823	9	9				150	 6.8		 6.8						INDONESIA		INDONESIA:  JAVA	  -6.500	  108.500	170																								
1680		1823	10				    										CROATIA		BALKANS NW:  CROATIA:  DUBROVNIK	  42.700	   18.200	130		3						2																
6072	Tsu	1823	11	30			    										MARTINIQUE		MARTINIQUE: SAINT PIERRE HARBOR	  14.400	  -61.100	90																								
1674		1823					    										IRAN		IRAN:  SHIRAZ	  29.600	   52.500	140								2																
1681		1824	4	10			    										JAMAICA		JAMAICA:  KINGSTON	  18.000	  -76.500	90								2																
8242		1824	6	2													IRAN		IRAN:  KAZIRUN, SHAHPUR	  29.700	   51.600	140		4						4		4				4						4		4		
1682		1824	6	25					 6.4		 6.4					8	IRAN		IRAN:  SHIRAZ, GUYUM	  29.800	   52.400	140		3						3		2		3		3						3		2		3
6614	Tsu	1824	9	13													GUADELOUPE		GUADELOUPE: BASSE TERRE	  16.700	  -62.200	90																								
1684		1824	9	29	6	30	    										PHILIPPINES		PHILIPPINES:  SE LUZON:  TAYABAS,RIZAL,LAGUNA	  13.700	  121.700	170								2																
1685	Tsu	1824	10	26													PHILIPPINES		PHILIPPINES:  MANILA,SAN FRANCISCO	  14.250	  121.250	170		3						2		3				3						2		3		
6073	Tsu	1824	11	30			    										MARTINIQUE		MARTINIQUE: SAINT PIERRE	  14.400	  -61.000	90																								
1686	Tsu	1825	1	19	11	45			 6.8		 6.8					11	GREECE		GREECE:  IONIAN ISLANDS:  LEUKAS	  38.750	   20.750	130	      58	2						3		3			      58	2						3		3		
1689	Tsu	1825	2	26			    										COLOMBIA		COLOMBIA:  SANTA MARTA	  11.100	  -74.100	90								2																
1692		1825	3	2	7											10	ALGERIA		ALGERIA:  BLIDA, ALGIERS	  36.400	    2.800	15	    7000	4						4		4		4	    7000	4						4		4		
1693	Tsu	1825	4													8	USA TERRITORY	GU	GUAM; NORTHERN MARIANA ISLANDS:  LADRONES ISLAND	  14.000	  143.300	170								2		3										2		3		
1694	Tsu	1825	9	21	1	45	    										TRINIDAD AND TOBAGO		TRINIDAD:  PORT-OF-SPAIN	  10.400	  -61.300	90								2																
1695		1825	10													7	IRAN		IRAN:  SHIRAZ	  29.600	   52.500	140								2		1										2		1		
8243		1825							 6.7		 6.7					8	IRAN		IRAN:  HARHAZ	  36.100	   52.600	140		3						3		3				3						3		3		
9918	Tsu	1826	1														JAPAN		JAPAN:  BONIN ISLANDS [CHICHIJIMA ISLAND]	  27.070	  142.210	30																				1				
1698		1826	6	18	3	40	    		 8.2						 8.2	9	COLOMBIA		COLOMBIA:  ENGATIVA,BOGOTA,RAMIRIQUI,UMBITA,TUNJA	   4.600	  -73.900	160								3																
1700		1826	9	18	8		    										CUBA		CUBA:  SANTIAGO DE CUBA	  20.000	  -75.500	90								2																
1697		1826							 8.0		 8.0						NEW ZEALAND		NEW ZEALAND:  FJORDLAND	 -45.800	  166.500	170																								
1701		1827	3	23					 5.3		 5.3					7	CHINA		CHINA:  SHANXI PROVINCE	  34.900	  111.100	30	      84	2				2		1	55	2			      84	2				2		1	55	2		
1702		1827	6													10	TURKEY		TURKEY:  TOKAT, ERBAA	  40.700	   36.600	140								2												2				
6651	Tsu	1827	8	9													RUSSIA		RUSSIA:  KAMCHATKA	  53.000	  158.500	50								1												1				
1703		1827	9	26													PAKISTAN		PAKISTAN:  LAHORE, PUNJAB	  31.600	   74.300	60	    1000	3						2																
1706	Tsu	1827	11	16	22	45			 7.0		 7.0					11	COLOMBIA		COLOMBIA:  BOGOTA, NEIVA, POPAYAN, PASTO, HUILA	   1.800	  -76.400	160	     250	3						3					     250	3						3				
1710		1827	11	30	6	45	    										MARTINIQUE		MARTINIQUE	  14.400	  -61.000	90								2																
1712		1828	2	2	13	15										10	ITALY		ITALY:  ISLAND OF ISCHIA	  40.700	   13.900	130	      28	1						1		1			      28	1						1		1		
1715	Tsu	1828	3	30	12	35		50	 8.3		 8.3					7	PERU		PERU:  LIMA, CALLAO	 -12.130	  -77.809	160	      30	1				3		2				2	      30	1				3		2				2
6557	Tsu	1828	5	26					 6.4		 6.4						JAPAN		JAPAN:  AMAKUSA ISLANDS	  32.600	  129.900	30																								
1717		1828	6	6			    										INDIA		INDIA:  KASHMIR	  34.200	   74.500	60	    1000	3						3																
1718		1828	8	9	16		    	10	 5.7						 5.7	8	AZERBAIJAN		AZERBAIJAN:  SHEMAKHA (SEMACHA)	  40.700	   48.400	40								3																
1719	Tsu	1828	11	9	10	30										8	PHILIPPINES		PHILIPPINES:  MANILA	  14.550	  120.900	170								1				2								1				2
1720	Tsu	1828	12	18													JAPAN		JAPAN:  SANDYO IN ETIGO	  37.500	  139.500	30	    1443	4						4	11750	4			    1443	4						4	11750	4		
1722	Tsu	1828	12	29												9	INDONESIA		INDONESIA:  SULAWESI	  -7.000	  119.000	170		3						3						3						3				
1723		1829	3	7	22		    	40	 7.5						 7.5	10	RUSSIA		RUSSIA:  LAKE BAYKAL	  51.400	  104.100	40																								
1727		1829	3	21	18	30										10	SPAIN		SPAIN:  TORREVIEJA, MURCIA	  38.200	    -.900	130	    2000	4						3	3000	4			    2000	4						3	3000	4		
1728		1829	4	23	16		    									10	GREECE		GREECE-BULGARIA	  41.200	   24.500	130																								
1729		1829	5	5			    									9	GREECE		GREECE:  XANTHI-DRAMA	  41.200	   24.500	130		2						2																
1730		1829	9	26	19	12			 7.0		 7.0					11	CHILE		CHILE:  VALPARAISO	 -33.050	  -71.630	160		1												1										
7980		1829	11	18					 5.5		 5.5					7	CHINA		CHINA:  ANHUI PROVINCE	  33.200	  117.900	30		3						3		3				3						3		3		
1731		1829	11	19					 6.0		 6.0					8	CHINA		CHINA:  SHANDONG PROVINCE	  36.600	  118.500	30	     200	3						2		2			     200	3						2		2		
1732		1829	11	26												10	ROMANIA		ROMANIA:  BUCHAREST	  44.200	   26.100	110								3																
1734	Tsu	1830	1	18	9	15										9	PHILIPPINES		PHILIPPINES:  MANILA	  14.550	  120.900	170		3						2		3				3						2		3		
1733		1830	1				    										MEXICO		MEXICO:  OAXACA	  17.000	  -96.300	150								3																
1735		1830	3	9	7		    									9	RUSSIA		RUSSIA	  43.500	   47.500	40	     410	3						2																
1736		1830	3	9	11	22	    	16	 6.3						 6.3	9	RUSSIA		RUSSIA:  DAGESTAN	  43.000	   47.000	40	      40	1						2																
1737		1830	4	3			    		 6.5						 6.5		IRAN		IRAN:  CHAHARDANGEH,SEMNAN,DAMGHAN	  36.400	   54.300	140								3																
1738		1830	5	9			    										IRAN		IRAN:  DAMAVAND,TEHRAN,SEMNAN,DAMGHAN	  35.700	   52.100	140	     500	3						3																
1740		1830	6	12					 7.5		 7.5					10	CHINA		CHINA:  HEBEI PROVINCE	  36.400	  114.200	30	    7477	4				4		4	200000	4			    7477	4				4		4	200000	4		
1741		1830	8	19			    										JAPAN		JAPAN:  KYOTO	  35.000	  136.000	30	     280	3																						
9911	Tsu	1830	9	16													PHILIPPINES		PHILIPPINES:  MANILA	  14.550	  120.900	170																								
1742		1831	4	3			    									7	GREECE		GREECE:  SAMOS (DODECANESE)	  37.800	   27.000	130		2																						
1743		1831	5	26	10	25	    									9	ITALY		ITALY:  COAST OF LIGURIA	  43.800	    7.800	130	       4	1						3																
1744		1831	8	11													BARBADOS		BARBADOS, SAINT VINCENT, DOMINICA, ANTIGUA	  13.100	  -59.617	90	    3000	4						3					    3000	4						3				
1745		1831	9	11			    									9	ITALY		ITALY:  REGGIO DI CALABRIA	  38.100	   15.700	130							       3.000	2																
1746		1831	9	28					 6.3		 6.3					8	CHINA		CHINA:  ANHUI PROVINCE	  32.800	  116.800	30	      33	1						1		1			      33	1						1		1		
1748		1831	10	9	2	15			 7.8						 7.8	7	CHILE		CHILE: PERU:  TACNA,ARICA,AREQUIPA	 -18.500	  -71.000	160		2						1																
6043	Tsu	1831	12	3	23	40	    		 7.0		 7.0						TRINIDAD AND TOBAGO		TRINIDAD & ST. CHRISTOPHER	  12.400	  -61.500	90																								
10066	Tsu	1831															NEW ZEALAND		NEW ZEALAND:  NORTH ISLAND:  POVERTY BAY	 -38.700	  178.000	170																								
1749		1832	1	13	13											10	ITALY		ITALY:  FOLIGNO	  42.900	   12.600	130	      22	1						2																
1751		1832	1	22			    										AFGHANISTAN		AFGHANISTAN	  36.500	   71.000	40		3						3																
1753		1832	3	8	18	15	    									10	ITALY		ITALY:  CUTRO	  39.000	   17.000	130																								
1754	Tsu	1833	1	19					 6.4		 6.4					10	ALBANIA		ALBANIA:  VLORE, SAZAN, KANINA, NARTA	  40.400	   19.900	130								2												2				
6044	Tsu	1833	3	10													MEXICO		S. MEXICO	  16.800	  -99.900	150																								
1755		1833	4	25	14	30	    									10	CHILE		CHILE	 -28.500	  -71.300	160																								
